,genus,genus_count,effector_count,effectors
117,Halalkalibacterium,35,13,"1, 15, 21, 58, 66, 70, 73, 79, 81, 85, 92, 94, 100"
644,Synechocystis,35,16,"1, 15, 24, 32, 35, 57, 58, 66, 70, 76, 81, 85, 90, 92, 94, 100"
1270,Schistocerca,35,8,"10, 11, 12, 15, 23, 30, 41, 91"
2658,Buchnera,35,11,"57, 58, 65, 66, 73, 76, 81, 85, 90, 92, 100"
1411,Nicotiana,35,15,"11, 15, 24, 32, 38, 46, 50, 66, 70, 73, 76, 85, 90, 92, 94"
1523,Chlorella,35,13,"15, 24, 43, 46, 57, 65, 73, 76, 79, 85, 90, 92, 95"
1833,Smittium,35,10,"22, 24, 32, 46, 58, 76, 79, 81, 85, 92"
1308,Habropoda,34,16,"11, 12, 17, 23, 24, 29, 30, 41, 50, 73, 76, 79, 81, 91, 93, 95"
119,Trichoplax,34,18,"1, 7, 24, 32, 46, 50, 58, 65, 73, 76, 77, 79, 81, 85, 90, 92, 94, 100"
286,Ascaris,34,16,"1, 29, 32, 43, 50, 57, 70, 73, 76, 77, 78, 79, 90, 91, 93, 100"
366,Nothobranchius,34,11,"1, 7, 32, 40, 50, 55, 58, 65, 91, 93, 94"
140,Lentisphaerae,34,11,"1, 32, 38, 57, 58, 66, 70, 81, 85, 94, 100"
1203,Frieseomelitta,34,20,"10, 11, 12, 17, 23, 24, 29, 30, 38, 50, 70, 73, 76, 78, 79, 81, 90, 91, 94, 95"
148,Triticum,34,16,"1, 4, 15, 24, 32, 38, 43, 46, 64, 70, 76, 85, 90, 92, 94, 100"
114,Desulfovibrio,34,17,"1, 11, 24, 32, 38, 41, 57, 58, 66, 70, 73, 81, 85, 90, 92, 94, 100"
894,Equus,34,16,"7, 11, 15, 24, 32, 38, 46, 50, 58, 65, 77, 78, 90, 93, 94, 100"
1519,Saccharolobus,34,8,"15, 76, 85, 90, 92, 93, 94, 95"
1274,Thermosynechococcus,33,11,"11, 57, 66, 70, 73, 77, 81, 85, 92, 94, 100"
321,Hordeum,33,15,"1, 17, 24, 32, 43, 46, 57, 58, 64, 73, 76, 85, 94, 95, 100"
975,Macrostomum,33,12,"7, 24, 29, 32, 58, 65, 76, 78, 79, 91, 94, 100"
1183,Atta,33,14,"10, 11, 12, 22, 23, 29, 30, 32, 41, 46, 50, 90, 91, 94"
877,Poecilia,33,11,"7, 11, 32, 38, 43, 50, 55, 58, 77, 78, 93"
211,Treponema,33,14,"1, 4, 11, 15, 29, 32, 57, 65, 66, 70, 85, 90, 92, 100"
231,Lactobacillus,33,14,"1, 17, 21, 24, 38, 57, 65, 66, 70, 73, 76, 85, 93, 94"
1168,Bemisia,33,9,"10, 15, 41, 73, 79, 90, 93, 94, 95"
67,Thermochaetoides,33,12,"1, 23, 24, 29, 32, 40, 43, 58, 73, 79, 95, 100"
1566,Lachnospiraceae,33,17,"15, 22, 24, 29, 32, 38, 40, 41, 57, 58, 65, 66, 82, 85, 92, 94, 100"
744,Scaptodrosophila,32,17,"1, 7, 10, 11, 12, 17, 22, 23, 29, 30, 32, 41, 46, 50, 79, 90, 94"
610,Anaeromyxobacter,32,13,"1, 15, 23, 24, 32, 39, 57, 66, 73, 82, 85, 90, 92"
292,Halomonas,32,13,"1, 11, 15, 21, 24, 32, 66, 79, 81, 85, 92, 94, 100"
225,Caulobacter,32,15,"1, 11, 15, 23, 24, 30, 43, 57, 66, 73, 81, 85, 90, 92, 100"
243,Stenotrophomonas,32,18,"1, 11, 15, 24, 32, 38, 41, 65, 70, 73, 76, 77, 79, 81, 85, 90, 92, 95"
131,Flavobacteriaceae,31,17,"1, 4, 11, 15, 24, 32, 38, 58, 66, 70, 76, 79, 81, 85, 92, 94, 100"
83,Coxiella,31,9,"1, 30, 57, 65, 70, 85, 90, 94, 100"
1181,Cyphomyrmex,31,12,"10, 12, 17, 23, 30, 41, 50, 73, 91, 92, 93, 95"
195,Nocardioides,31,19,"1, 4, 10, 15, 24, 41, 57, 58, 65, 66, 70, 72, 73, 81, 92, 93, 94, 95, 100"
118,Pan,31,16,"1, 7, 11, 15, 29, 30, 32, 46, 50, 58, 65, 66, 78, 81, 94, 100"
1310,Lasius,30,17,"11, 12, 17, 21, 22, 23, 30, 38, 57, 76, 77, 78, 90, 91, 93, 94, 95"
161,Sphingobacteriales,30,14,"1, 11, 15, 24, 32, 57, 58, 64, 66, 70, 76, 79, 85, 92"
1209,Bombus,30,14,"10, 17, 22, 29, 30, 41, 46, 50, 73, 79, 90, 91, 93, 95"
101,Coccidioides,30,12,"1, 32, 57, 66, 73, 76, 81, 85, 90, 92, 95, 100"
88,Novosphingobium,30,13,"1, 7, 12, 15, 57, 58, 66, 73, 79, 81, 85, 90, 94"
1460,Phocaeicola,30,15,"11, 24, 57, 58, 66, 70, 73, 76, 79, 81, 82, 85, 92, 93, 94"
202,Polarella,30,15,"1, 11, 21, 32, 38, 40, 43, 46, 57, 58, 65, 74, 76, 79, 95"
564,Camponotus,30,14,"1, 10, 12, 17, 22, 23, 29, 30, 50, 73, 90, 91, 94, 95"
607,Apostichopus,30,14,"1, 7, 21, 24, 29, 38, 43, 46, 76, 77, 78, 79, 93, 100"
24,Rhodospirillum,30,11,"1, 11, 15, 57, 58, 70, 76, 85, 92, 94, 100"
3069,Thermoanaerobacter,30,7,"70, 76, 81, 85, 92, 94, 100"
885,Labeo,30,12,"7, 32, 38, 40, 43, 50, 65, 74, 78, 81, 92, 93"
1400,Scylla,30,18,"11, 12, 17, 38, 43, 46, 50, 73, 76, 77, 78, 79, 81, 90, 91, 92, 93, 100"
359,Elusimicrobia,30,17,"1, 11, 15, 24, 32, 38, 40, 57, 64, 66, 70, 74, 79, 81, 85, 92, 94"
897,Parasteatoda,30,12,"7, 11, 22, 29, 43, 46, 73, 77, 78, 81, 91, 95"
541,Alligator,29,13,"1, 7, 29, 32, 46, 50, 58, 65, 78, 81, 91, 92, 93"
542,Panagrellus,29,15,"1, 7, 24, 29, 32, 46, 57, 58, 76, 79, 81, 85, 92, 93, 100"
1233,Tenebrio,29,11,"10, 15, 17, 23, 41, 76, 79, 81, 90, 93, 94"
1295,Photobacterium,29,16,"11, 15, 24, 50, 57, 58, 70, 73, 76, 81, 85, 90, 92, 94, 95, 100"
1018,Dimorphilus,29,16,"7, 29, 32, 43, 46, 50, 58, 65, 76, 78, 90, 92, 93, 94, 95, 100"
277,Amycolatopsis,29,12,"1, 11, 15, 24, 40, 57, 81, 85, 92, 93, 94, 95"
555,Actinobacillus,29,13,"1, 10, 11, 57, 73, 76, 81, 85, 90, 92, 94, 95, 100"
171,Parabacteroides,29,13,"1, 11, 24, 32, 38, 57, 66, 70, 76, 81, 85, 92, 100"
851,Lacticaseibacillus,29,8,"4, 15, 57, 70, 76, 85, 93, 94"
447,Phycisphaerales,29,14,"1, 24, 32, 38, 57, 58, 66, 70, 78, 79, 81, 85, 92, 94"
1492,Dufourea,28,14,"12, 17, 22, 23, 30, 41, 46, 50, 73, 76, 77, 90, 91, 93"
126,Elysia,28,14,"1, 7, 11, 29, 46, 50, 65, 76, 77, 78, 81, 93, 94, 100"
1276,Mucilaginibacter,28,10,"11, 15, 38, 57, 58, 66, 70, 81, 85, 92"
190,Alexandrium,28,12,"1, 15, 21, 38, 43, 50, 58, 65, 66, 76, 90, 100"
237,Bartonella,28,11,"1, 24, 29, 32, 57, 66, 73, 76, 81, 85, 100"
778,Eimeria,28,15,"4, 21, 24, 32, 38, 43, 46, 55, 58, 73, 74, 79, 81, 95, 100"
459,Anthurium,27,13,"1, 10, 11, 23, 24, 30, 32, 50, 58, 76, 79, 85, 100"
1196,Anoplophora,27,8,"10, 41, 46, 79, 81, 90, 91, 93"
1476,Castellaniella,27,2,"11, 79"
241,Rhodopirellula,27,14,"1, 22, 24, 32, 41, 57, 58, 66, 70, 78, 81, 85, 92, 94"
76,Parcubacteria,27,9,"1, 15, 57, 66, 70, 79, 81, 85, 92"
411,Clostridiaceae,27,14,"1, 24, 32, 38, 57, 58, 66, 70, 79, 81, 85, 92, 94, 100"
660,Oncorhynchus,27,14,"1, 7, 11, 15, 24, 32, 38, 50, 58, 64, 66, 78, 79, 93"
987,Labrus,27,13,"7, 11, 29, 46, 50, 58, 65, 76, 78, 79, 81, 93, 94"
311,Actinoplanes,27,12,"1, 7, 15, 24, 40, 57, 66, 81, 85, 92, 94, 95"
482,Aegilops,27,13,"1, 32, 38, 46, 50, 57, 66, 70, 76, 79, 85, 90, 92"
997,Micromonospora,27,13,"7, 15, 21, 24, 38, 41, 57, 58, 76, 85, 92, 94, 100"
2660,Ehrlichia,27,6,"57, 65, 66, 70, 73, 85"
2145,Aliivibrio,27,11,"30, 57, 65, 70, 73, 76, 81, 85, 92, 94, 100"
2690,Pyrobaculum,27,7,"57, 70, 76, 81, 85, 92, 93"
1273,Acidovorax,27,16,"11, 19, 24, 32, 38, 43, 57, 58, 66, 70, 73, 76, 85, 90, 92, 94"
525,Bracon,27,15,"1, 7, 12, 15, 22, 23, 30, 46, 58, 65, 73, 76, 79, 81, 95"
1325,Chlorobaculum,27,12,"11, 23, 41, 57, 66, 70, 76, 85, 90, 92, 94, 100"
2787,Thermoactinomyces,26,5,"57, 66, 76, 81, 94"
108,Callorhinchus,26,12,"1, 7, 11, 38, 46, 50, 58, 65, 77, 78, 91, 93"
2167,Citrus,26,9,"32, 58, 66, 73, 76, 79, 85, 92, 100"
266,Phycisphaerae,26,14,"1, 11, 15, 38, 57, 58, 66, 70, 77, 78, 79, 81, 85, 92"
2596,Pinctada,26,8,"50, 66, 70, 76, 77, 81, 85, 92"
154,Rhododendron,26,10,"1, 4, 21, 24, 32, 66, 79, 81, 85, 90"
427,Felis,26,12,"1, 7, 11, 15, 32, 46, 58, 76, 91, 93, 94, 100"
875,Oreochromis,26,13,"7, 11, 24, 29, 32, 38, 50, 65, 77, 78, 91, 93, 100"
279,Pseudogymnoascus,26,13,"1, 4, 21, 24, 32, 38, 66, 70, 76, 85, 94, 95, 100"
1210,Heterotrigona,25,15,"10, 12, 17, 23, 29, 30, 46, 50, 65, 76, 79, 90, 91, 93, 94"
193,Moniliophthora,25,14,"1, 15, 32, 38, 43, 46, 57, 66, 70, 76, 79, 85, 95, 100"
705,Paramormyrops,25,11,"1, 7, 24, 29, 32, 43, 46, 55, 58, 65, 79"
349,Rhodotorula,25,8,"1, 24, 32, 57, 66, 70, 76, 90"
2652,Thermoascus,25,3,"57, 66, 85"
249,Trichormus,25,14,"1, 29, 38, 57, 58, 66, 70, 73, 76, 81, 85, 92, 94, 100"
1864,Opisthorchis,25,7,"24, 29, 32, 50, 65, 76, 81"
782,Ruminococcus,25,13,"4, 24, 29, 38, 57, 58, 65, 66, 79, 85, 92, 94, 100"
392,Emiliania,25,15,"1, 15, 16, 22, 32, 41, 46, 65, 70, 73, 76, 79, 81, 95, 100"
598,Spirochaetes,24,12,"1, 7, 15, 57, 66, 70, 76, 81, 85, 92, 94, 100"
1161,Nezara,24,2,"10, 41"
887,Micrurus,24,15,"7, 15, 21, 24, 32, 40, 58, 64, 70, 76, 79, 81, 82, 91, 92"
489,Haptolina,24,11,"1, 19, 32, 41, 43, 46, 58, 65, 79, 92, 100"
912,Ursus,24,9,"7, 11, 15, 38, 46, 65, 78, 79, 93"
1496,Eufriesea,24,15,"12, 23, 29, 30, 41, 43, 50, 73, 77, 78, 79, 91, 93, 94, 95"
330,Physcomitrium,24,14,"1, 24, 32, 38, 42, 57, 58, 66, 70, 73, 76, 79, 85, 92"
2657,Caldicellulosiruptor,24,7,"57, 66, 70, 73, 79, 92, 93"
1785,Sulfolobus,24,11,"17, 24, 64, 70, 73, 76, 79, 92, 93, 94, 95"
2662,Acidimicrobiaceae,24,7,"57, 58, 66, 82, 92, 94, 100"
2413,Populus,24,4,"38, 79, 90, 100"
253,Methylorubrum,24,9,"1, 15, 57, 58, 70, 73, 85, 90, 92"
1135,Pristionchus,24,14,"7, 29, 32, 46, 57, 66, 70, 76, 77, 78, 79, 81, 91, 100"
1169,Cnaphalocrocis,24,5,"10, 41, 76, 90, 93"
1893,Proteus,24,10,"24, 38, 57, 58, 66, 73, 85, 90, 95, 100"
772,Fasciola,23,9,"4, 24, 29, 32, 38, 58, 65, 76, 90"
726,Microbotryum,23,12,"1, 4, 24, 32, 57, 58, 66, 70, 76, 81, 90, 92"
1463,Hymenobacter,23,11,"11, 15, 21, 58, 66, 70, 76, 79, 81, 85, 94"
2000,Globodera,23,11,"24, 32, 46, 50, 57, 58, 65, 76, 77, 79, 91"
1145,Stylophora,23,14,"7, 24, 32, 38, 46, 50, 58, 65, 76, 77, 78, 81, 92, 93"
1490,Psychrobacter,23,12,"12, 23, 24, 30, 57, 66, 70, 85, 90, 93, 94, 100"
1272,Homarus,23,4,"11, 23, 30, 66"
848,Caligus,23,10,"4, 17, 30, 46, 50, 77, 78, 79, 81, 90"
993,Bubalus,23,9,"7, 11, 57, 70, 77, 78, 81, 85, 92"
137,Nitrospirae,23,6,"1, 24, 58, 70, 81, 85"
68,Tetrahymena,23,12,"1, 22, 29, 32, 38, 43, 58, 64, 66, 76, 85, 95"
207,Cellulomonas,23,11,"1, 24, 38, 58, 66, 70, 76, 79, 81, 85, 94"
433,Helobdella,22,14,"1, 7, 29, 43, 46, 50, 55, 65, 73, 76, 81, 93, 94, 100"
601,Sphingobacterium,22,10,"1, 4, 11, 15, 57, 58, 70, 81, 82, 85"
1547,Metarhizium,22,13,"15, 32, 38, 41, 57, 58, 70, 76, 81, 85, 92, 93, 100"
761,Anaerolineae,22,11,"1, 15, 24, 40, 57, 66, 70, 82, 85, 92, 94"
248,Paracoccus,22,14,"1, 11, 38, 57, 58, 66, 73, 81, 85, 90, 92, 93, 94, 95"
1711,Eutreptiella,22,13,"15, 32, 43, 46, 55, 57, 58, 65, 74, 76, 79, 90, 100"
107,Mycobacteroides,22,10,"1, 30, 57, 58, 81, 85, 90, 92, 93, 94"
1121,Rhabditophanes,22,14,"7, 15, 29, 46, 50, 73, 76, 77, 78, 79, 81, 91, 95, 100"
738,Ictalurus,22,14,"1, 7, 29, 32, 38, 43, 46, 50, 65, 66, 77, 78, 79, 93"
95,Rhizophagus,22,11,"1, 4, 24, 38, 65, 74, 76, 81, 90, 94, 100"
2339,Clostridioides,22,10,"38, 57, 66, 70, 76, 81, 85, 92, 94, 100"
892,Ailuropoda,22,10,"7, 11, 43, 46, 50, 65, 76, 91, 93, 100"
749,Rhizoclosmatium,22,9,"1, 21, 22, 32, 70, 76, 81, 90, 92"
586,Angiostrongylus,22,14,"1, 4, 7, 29, 50, 58, 65, 76, 77, 78, 79, 91, 92, 100"
771,Desulfobacteraceae,22,6,"4, 32, 58, 65, 81, 100"
414,Peniophora,22,13,"1, 38, 41, 57, 65, 66, 70, 73, 74, 76, 79, 90, 95"
1053,Rhodospirillaceae,22,10,"7, 11, 15, 24, 58, 73, 90, 92, 95, 100"
1847,Rhizomucor,22,10,"22, 57, 66, 70, 76, 81, 85, 92, 93, 94"
291,Monodelphis,22,14,"1, 7, 32, 38, 46, 50, 65, 76, 77, 78, 91, 92, 93, 100"
358,Stutzerimonas,21,15,"1, 15, 19, 41, 57, 65, 66, 73, 76, 77, 78, 85, 92, 94, 100"
951,Tropilaelaps,21,13,"7, 29, 41, 43, 46, 57, 70, 73, 78, 81, 90, 91, 95"
3540,Tetronarce,21,1,93
1158,Dendrolimus,21,2,"10, 41"
1507,Fibrobacter,21,7,"15, 57, 66, 78, 81, 92, 100"
130,bioreactor,21,10,"1, 7, 11, 15, 38, 57, 58, 65, 70, 100"
74,Euryarchaeota,21,12,"1, 24, 32, 38, 43, 57, 58, 66, 70, 79, 81, 85"
2717,Histophilus,21,10,"57, 65, 66, 70, 76, 81, 85, 90, 94, 100"
540,Trichophyton,21,9,"1, 32, 38, 57, 58, 76, 79, 92, 93"
1500,Micromonas,21,7,"15, 21, 32, 58, 65, 91, 100"
901,Hippocampus,21,6,"7, 58, 65, 77, 78, 93"
295,Fusobacterium,21,10,"1, 15, 30, 32, 57, 58, 70, 76, 93, 94"
87,Neurospora,21,11,"1, 46, 57, 73, 76, 79, 81, 85, 93, 95, 100"
602,Betaproteobacteria,21,12,"1, 11, 15, 22, 24, 38, 41, 58, 70, 81, 85, 90"
97,Echinococcus,21,9,"1, 29, 32, 50, 58, 65, 66, 76, 81"
1069,Heligmosomoides,21,12,"7, 29, 32, 43, 46, 50, 57, 70, 77, 79, 90, 93"
1398,Akkermansia,20,13,"11, 15, 38, 57, 66, 70, 76, 79, 81, 85, 92, 94, 100"
1333,Nitrosomonas,20,8,"11, 21, 57, 66, 70, 81, 85, 94"
527,Lupinus,20,11,"1, 11, 15, 21, 32, 58, 73, 79, 85, 92, 100"
1618,Guillardia,20,12,"15, 21, 32, 43, 58, 65, 73, 76, 85, 90, 92, 100"
2158,Piromyces,20,9,"32, 57, 58, 70, 81, 85, 92, 93, 100"
444,Entamoeba,20,11,"1, 32, 43, 55, 58, 66, 73, 76, 91, 94, 100"
589,Oikopleura,20,14,"1, 29, 46, 50, 57, 65, 76, 77, 78, 79, 85, 90, 92, 100"
655,Tetraodon,20,9,"1, 7, 32, 40, 50, 57, 65, 78, 93"
424,Scophthalmus,20,14,"1, 4, 7, 11, 43, 46, 50, 58, 66, 78, 79, 81, 93, 100"
1392,Oxytricha,20,10,"11, 21, 32, 43, 55, 58, 65, 76, 90, 91"
96,Spinacia,20,13,"1, 11, 15, 24, 29, 32, 38, 66, 70, 76, 77, 81, 90"
223,Monosporascus,20,12,"1, 38, 57, 58, 66, 73, 76, 81, 85, 90, 92, 95"
105,Mycoplasmoides,20,10,"1, 32, 38, 58, 66, 73, 85, 90, 92, 100"
1581,Brevibacillus,20,11,"15, 38, 57, 58, 66, 76, 81, 85, 90, 92, 94"
1314,Porphyromonas,20,10,"11, 15, 38, 42, 66, 70, 76, 81, 92, 93"
245,Geotalea,20,11,"1, 19, 57, 65, 66, 70, 73, 77, 81, 85, 100"
426,Ignavibacteria,20,10,"1, 15, 38, 57, 66, 70, 76, 81, 85, 92"
1539,freshwater,20,8,"15, 22, 24, 32, 57, 66, 85, 94"
1424,[Eubacterium],20,11,"11, 17, 30, 57, 66, 70, 79, 85, 92, 94, 100"
1230,Harpegnathos,20,12,"10, 12, 17, 23, 29, 30, 41, 50, 90, 91, 93, 95"
890,Anolis,19,10,"7, 11, 24, 29, 40, 50, 58, 81, 90, 93"
898,Esox,19,10,"7, 29, 38, 43, 50, 58, 76, 78, 79, 93"
1853,Desulfitobacterium,19,10,"23, 38, 57, 70, 73, 81, 85, 92, 94, 100"
561,Brassica,19,14,"1, 11, 15, 24, 29, 32, 46, 57, 58, 76, 79, 85, 90, 95"
407,Rhodobacteraceae,19,13,"1, 11, 15, 24, 32, 58, 65, 66, 73, 77, 90, 95, 100"
255,Yarrowia,19,10,"1, 24, 32, 58, 73, 74, 92, 93, 94, 100"
232,Rhinolophus,19,12,"1, 11, 24, 30, 46, 50, 58, 77, 78, 79, 81, 92"
515,Citrobacter,19,14,"1, 4, 11, 15, 57, 58, 66, 73, 76, 79, 81, 94, 95, 100"
2357,Thermococcus,19,9,"38, 57, 66, 70, 73, 76, 81, 92, 94"
1300,Pelodictyon,19,11,"11, 29, 38, 57, 66, 77, 81, 85, 92, 93, 100"
153,Archaeoglobus,19,14,"1, 15, 38, 41, 46, 57, 58, 66, 70, 76, 81, 90, 93, 100"
1290,Marinobacter,19,12,"11, 15, 24, 43, 57, 58, 66, 81, 85, 90, 94, 100"
2281,Acetobacter,19,5,"32, 58, 64, 76, 79"
950,Nematostella,19,12,"7, 46, 50, 65, 73, 76, 77, 78, 81, 90, 93, 100"
630,Comamonas,19,9,"1, 11, 12, 15, 24, 73, 81, 95, 100"
1875,Alicyclobacillus,19,8,"24, 66, 70, 85, 90, 92, 93, 94"
1028,Haemonchus,19,12,"7, 43, 46, 57, 65, 76, 79, 81, 85, 90, 92, 100"
828,Pocillopora,18,12,"4, 7, 38, 43, 50, 65, 76, 77, 78, 90, 93, 100"
378,Camellia,18,11,"1, 32, 46, 55, 66, 70, 76, 79, 85, 92, 100"
700,Cronobacter,18,13,"1, 4, 11, 57, 65, 66, 73, 76, 79, 81, 85, 95, 100"
367,Lotharella,18,11,"1, 32, 38, 43, 46, 57, 58, 65, 76, 90, 100"
862,Anisakis,18,10,"4, 7, 46, 50, 57, 70, 77, 78, 79, 91"
1857,Wolbachia,18,8,"23, 57, 58, 66, 70, 73, 85, 100"
2655,Oceanobacillus,18,7,"57, 66, 70, 85, 92, 94, 100"
1160,Matsumurasca,18,2,"10, 41"
550,Medicago,18,12,"1, 11, 15, 24, 36, 66, 70, 76, 79, 81, 85, 100"
2154,Aureobasidium,18,12,"32, 38, 41, 43, 58, 65, 73, 76, 78, 85, 94, 95"
926,Seriola,18,10,"7, 38, 50, 58, 76, 77, 78, 91, 93, 100"
2297,Thermogutta,18,6,"32, 57, 66, 81, 93, 94"
244,Gluconobacter,18,12,"1, 57, 58, 64, 65, 66, 70, 73, 85, 92, 95, 100"
1488,Amphimedon,18,12,"12, 15, 21, 32, 38, 46, 58, 65, 66, 76, 77, 79"
996,Cavia,18,11,"7, 11, 15, 23, 30, 32, 65, 77, 78, 92, 93"
485,Marchantia,18,11,"1, 15, 24, 32, 38, 43, 66, 76, 79, 92, 100"
755,Poeciliopsis,18,16,"1, 5, 7, 11, 21, 29, 32, 38, 46, 58, 65, 74, 77, 93, 94, 100"
273,Clostridia,18,9,"1, 24, 66, 70, 81, 85, 92, 94, 100"
1129,Mesocricetus,18,11,"7, 11, 15, 65, 66, 70, 77, 78, 90, 93, 100"
2543,Exidia,18,8,"46, 57, 58, 66, 70, 81, 90, 92"
133,Batrachochytrium,18,6,"1, 32, 43, 58, 66, 85"
139,Hortaea,18,9,"1, 32, 55, 58, 70, 76, 79, 81, 95"
543,Scyliorhinus,18,10,"1, 7, 24, 40, 65, 74, 78, 81, 92, 93"
609,Limosilactobacillus,17,10,"1, 24, 38, 40, 57, 66, 73, 92, 94, 100"
1418,Hevea,17,6,"11, 24, 32, 66, 81, 100"
308,Schistocephalus,17,6,"1, 24, 29, 58, 65, 76"
640,archaeon,17,15,"1, 4, 15, 24, 38, 40, 57, 64, 65, 66, 70, 74, 76, 79, 100"
1672,Nannochloropsis,17,8,"15, 21, 41, 46, 65, 79, 92, 100"
865,Aeropyrum,17,7,"4, 57, 73, 76, 81, 92, 95"
305,Kwoniella,17,10,"1, 32, 58, 66, 70, 76, 79, 81, 85, 94"
2107,Trichomonas,17,7,"29, 32, 35, 65, 81, 92, 100"
3070,Kribbella,17,4,"70, 79, 81, 94"
796,Cordyceps,17,8,"4, 57, 76, 79, 85, 92, 94, 95"
1222,Epiphyas,17,6,"10, 12, 41, 90, 91, 93"
689,Idiomarina,17,9,"1, 11, 57, 58, 65, 70, 85, 90, 100"
1531,Dehalococcoidia,17,10,"15, 24, 57, 66, 70, 73, 81, 82, 92, 95"
616,Alkaliphilus,17,9,"1, 24, 57, 66, 70, 73, 81, 85, 100"
842,Acanthamoeba,17,9,"4, 15, 32, 65, 73, 76, 94, 95, 100"
1631,Opuntia,17,10,"15, 32, 41, 46, 57, 76, 79, 85, 92, 100"
170,Leptolyngbya,17,11,"1, 15, 21, 40, 58, 64, 73, 85, 92, 94, 100"
189,Pseudonocardia,17,9,"1, 15, 24, 40, 66, 73, 81, 95, 100"
1440,Algoriphagus,17,9,"11, 15, 24, 66, 70, 74, 81, 85, 92"
173,Chrysochromulina,17,9,"1, 15, 32, 38, 43, 46, 58, 76, 79"
831,Vitis,17,10,"4, 21, 32, 40, 43, 46, 66, 73, 76, 100"
167,Microgenomates,17,7,"1, 32, 38, 57, 70, 81, 85"
1055,Pogonomyrmex,17,10,"7, 10, 12, 22, 23, 30, 41, 43, 79, 91"
947,Astyanax,17,6,"7, 46, 50, 76, 78, 92"
144,Saprospiraceae,17,9,"1, 4, 15, 38, 66, 78, 79, 82, 94"
1312,Naegleria,17,11,"11, 15, 32, 43, 46, 57, 76, 77, 78, 85, 95"
1251,Xenopsylla,17,12,"10, 11, 12, 17, 22, 23, 29, 30, 43, 50, 79, 91"
532,Nitrobacter,17,11,"1, 24, 38, 57, 58, 66, 70, 76, 85, 92, 94"
1737,Gongylonema,17,8,"15, 29, 32, 38, 77, 78, 79, 100"
331,Kluyveromyces,17,12,"1, 12, 32, 57, 58, 66, 76, 79, 85, 90, 93, 94"
334,Hemiselmis,17,11,"1, 24, 32, 43, 46, 58, 64, 65, 82, 92, 100"
352,Camelus,17,10,"1, 7, 23, 29, 46, 50, 58, 65, 76, 93"
1626,Acidimicrobiia,17,6,"15, 40, 66, 70, 81, 94"
920,Sepia,16,10,"7, 29, 32, 43, 74, 76, 77, 78, 92, 94"
896,Dissostichus,16,10,"7, 11, 32, 38, 46, 55, 58, 65, 93, 100"
344,Symbiobacterium,16,9,"1, 15, 57, 73, 81, 85, 92, 94, 100"
1232,Pectinophora,16,7,"10, 12, 30, 38, 41, 46, 91"
115,Botrytis,16,11,"1, 11, 32, 55, 57, 66, 76, 79, 81, 82, 85"
1614,Dictyoglomus,16,9,"15, 38, 57, 65, 66, 79, 85, 92, 94"
110,Nitrospira,16,9,"1, 11, 15, 24, 40, 58, 70, 82, 92"
538,Alkalihalobacillus,16,10,"1, 24, 32, 66, 73, 76, 81, 85, 90, 92"
879,Carassius,16,5,"7, 50, 58, 66, 90"
641,Nelumbo,16,9,"1, 32, 46, 58, 66, 70, 76, 85, 92"
2119,Necator,16,12,"29, 32, 43, 46, 65, 70, 77, 78, 79, 90, 91, 93"
917,Coregonus,16,11,"7, 32, 46, 50, 58, 64, 65, 76, 79, 93, 100"
467,Spizellomyces,16,10,"1, 32, 46, 70, 74, 76, 78, 79, 81, 92"
1329,Actinomadura,16,10,"11, 24, 57, 66, 73, 82, 85, 92, 94, 95"
342,Planctomycetes,16,14,"1, 15, 22, 24, 38, 57, 58, 66, 70, 76, 78, 79, 81, 82"
2536,Linderina,16,8,"46, 57, 76, 79, 81, 85, 90, 100"
212,Artemisia,16,10,"1, 38, 43, 55, 57, 66, 76, 81, 85, 92"
1177,Ectropis,16,3,"10, 41, 93"
364,Erwinia,16,8,"1, 11, 73, 81, 92, 94, 95, 100"
591,Alistipes,16,8,"1, 11, 15, 38, 57, 58, 79, 94"
3477,Alopecurus,16,1,90
147,Rhizopus,16,10,"1, 12, 22, 32, 46, 76, 79, 81, 85, 95"
508,Photorhabdus,16,12,"1, 32, 50, 58, 73, 81, 85, 92, 93, 94, 95, 100"
884,Hucho,16,7,"7, 32, 38, 46, 79, 93, 100"
889,Lepisosteus,16,8,"7, 11, 32, 38, 46, 50, 58, 65"
1275,Xanthomonadales,16,8,"11, 14, 15, 21, 24, 32, 66, 78"
510,Crocosphaera,16,6,"1, 57, 85, 92, 94, 100"
1277,Chryseobacterium,16,6,"11, 15, 24, 65, 70, 81"
348,Microcystis,16,10,"1, 4, 22, 32, 57, 58, 70, 85, 92, 100"
1505,Chloropicon,16,10,"15, 21, 24, 32, 38, 58, 65, 76, 79, 100"
256,Variovorax,16,12,"1, 15, 22, 24, 38, 57, 58, 66, 85, 90, 95, 100"
654,Sarcophilus,16,10,"1, 11, 32, 46, 50, 70, 76, 91, 93, 100"
653,Fukomys,16,12,"1, 7, 11, 32, 43, 46, 50, 65, 76, 79, 93, 100"
581,Myxococcus,16,12,"1, 12, 15, 24, 57, 66, 70, 76, 81, 92, 93, 94"
1885,Eubacterium,16,7,"24, 33, 38, 66, 85, 94, 100"
1084,Geotrypetes,16,9,"7, 29, 32, 46, 50, 65, 70, 78, 91"
961,Salarias,16,7,"7, 29, 50, 58, 77, 78, 93"
