,genus,genus_count,effector_count,effectors
252,Clastoptera,148,29,"1, 7, 10, 11, 12, 15, 17, 22, 23, 24, 29, 30, 41, 46, 50, 65, 66, 70, 73, 76, 77, 78, 79, 81, 90, 91, 93, 94, 95"
70,Xanthomonas,147,20,"1, 11, 15, 32, 38, 57, 58, 66, 70, 73, 76, 77, 79, 81, 85, 90, 92, 94, 95, 100"
64,Helicobacter,147,22,"0, 1, 5, 15, 19, 24, 32, 38, 46, 50, 57, 58, 66, 70, 73, 76, 77, 81, 85, 90, 92, 100"
1007,Frankliniella,147,29,"7, 10, 11, 12, 15, 17, 21, 22, 23, 29, 30, 32, 41, 43, 46, 50, 57, 73, 76, 77, 78, 79, 85, 90, 91, 92, 93, 94, 95"
46,Bacteroidetes,147,25,"1, 4, 11, 15, 21, 24, 29, 32, 38, 40, 41, 57, 58, 66, 70, 73, 76, 77, 78, 79, 81, 85, 92, 94, 95"
54,Plasmodium,146,26,"1, 11, 12, 15, 24, 29, 32, 38, 40, 43, 46, 50, 55, 57, 66, 70, 73, 74, 76, 81, 85, 90, 91, 92, 94, 100"
766,Acyrthosiphon,146,36,"2, 4, 5, 7, 10, 12, 15, 17, 22, 23, 24, 29, 30, 32, 41, 50, 57, 60, 64, 65, 66, 70, 73, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 94, 95, 100"
919,Folsomia,145,29,"7, 10, 11, 12, 15, 17, 22, 23, 24, 29, 30, 38, 41, 43, 46, 50, 58, 70, 73, 76, 77, 78, 79, 81, 90, 91, 93, 94, 95"
524,Sus,145,32,"1, 7, 11, 12, 15, 23, 24, 29, 30, 32, 38, 46, 50, 57, 58, 65, 66, 70, 73, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 94, 95, 100"
1000,Orchesella,145,29,"7, 10, 11, 15, 17, 22, 23, 29, 30, 32, 40, 41, 43, 46, 50, 70, 73, 76, 77, 78, 79, 85, 90, 91, 92, 93, 94, 95, 100"
702,Oryctolagus,143,24,"1, 5, 7, 11, 12, 15, 29, 32, 43, 46, 50, 57, 66, 70, 77, 78, 79, 81, 90, 91, 92, 93, 94, 100"
955,Agrilus,141,22,"7, 10, 11, 12, 15, 17, 22, 23, 29, 30, 41, 46, 50, 65, 73, 76, 78, 90, 91, 93, 94, 95"
944,Thrips,140,24,"7, 10, 12, 17, 23, 29, 30, 32, 41, 43, 46, 50, 65, 73, 74, 76, 77, 78, 79, 90, 91, 93, 94, 95"
874,Ixodes,138,25,"7, 22, 24, 29, 38, 41, 43, 46, 50, 57, 65, 66, 70, 73, 76, 77, 78, 81, 85, 90, 91, 92, 93, 95, 100"
29,Xenopus,137,29,"1, 5, 7, 11, 15, 23, 24, 29, 32, 38, 39, 43, 46, 50, 58, 65, 66, 70, 73, 77, 78, 79, 81, 90, 91, 92, 93, 95, 100"
299,Trametes,135,10,"1, 32, 57, 66, 70, 73, 76, 90, 95, 100"
769,Tribolium,134,27,"2, 7, 10, 11, 12, 17, 22, 23, 29, 30, 41, 46, 50, 57, 70, 73, 76, 77, 78, 79, 81, 90, 91, 93, 94, 95, 100"
134,Paenibacillus,133,19,"1, 2, 15, 24, 32, 38, 40, 55, 57, 58, 66, 70, 76, 81, 82, 85, 92, 94, 100"
868,Culex,131,30,"5, 7, 10, 11, 12, 15, 17, 23, 29, 30, 38, 41, 43, 46, 50, 57, 65, 70, 73, 76, 77, 78, 79, 81, 85, 90, 91, 93, 94, 95"
1162,Graphocephala,131,29,"10, 11, 12, 15, 17, 23, 24, 29, 30, 32, 38, 41, 43, 46, 50, 66, 73, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 94, 95"
261,Leishmania,130,32,"1, 11, 14, 17, 21, 22, 23, 24, 29, 30, 32, 38, 43, 46, 50, 57, 58, 65, 66, 70, 73, 74, 76, 79, 81, 85, 90, 91, 92, 93, 95, 100"
49,Gallus,129,26,"1, 7, 11, 12, 15, 23, 24, 29, 30, 32, 43, 46, 50, 58, 65, 66, 73, 76, 77, 78, 81, 82, 90, 93, 94, 100"
1140,Eumeta,129,26,"7, 10, 11, 12, 17, 21, 22, 23, 29, 30, 32, 40, 41, 43, 50, 55, 73, 77, 78, 79, 90, 91, 93, 94, 95, 100"
75,Chloroflexi,129,24,"1, 4, 14, 15, 16, 22, 24, 29, 32, 38, 57, 58, 66, 70, 73, 76, 77, 79, 81, 85, 92, 94, 95, 100"
37,Acidobacteria,129,20,"1, 7, 15, 24, 32, 38, 40, 41, 57, 58, 66, 70, 74, 79, 81, 82, 85, 92, 94, 100"
908,Hermetia,128,27,"7, 10, 11, 12, 17, 22, 23, 29, 30, 32, 41, 43, 46, 50, 57, 65, 73, 77, 78, 81, 85, 90, 91, 92, 93, 94, 95"
